,date,account_value,daily_return,cumulative_return
169,2022-09-06,100000.0,0.0,-0.3241672415480068
170,2022-09-07,100000.0,0.0,-0.3241672415480068
171,2022-09-08,100000.0,0.0,-0.3241672415480068
172,2022-09-09,100000.0,0.0,-0.3241672415480068
173,2022-09-12,100000.0,0.0,-0.3241672415480068
174,2022-09-13,100000.0,0.0,-0.3241672415480068
175,2022-09-14,100000.0,0.0,-0.3241672415480068
176,2022-09-15,100000.0,0.0,-0.3241672415480068
177,2022-09-16,100000.0,0.0,-0.3241672415480068
178,2022-09-19,100000.0,0.0,-0.3241672415480068
179,2022-09-20,100000.0,0.0,-0.3241672415480068
180,2022-09-21,100000.0,0.0,-0.3241672415480068
181,2022-09-22,100000.0,0.0,-0.3241672415480068
182,2022-09-23,100000.0,0.0,-0.3241672415480068
183,2022-09-26,100000.0,0.0,-0.3241672415480068
184,2022-09-27,100000.0,0.0,-0.3241672415480068
185,2022-09-28,100000.0,0.0,-0.3241672415480068
186,2022-09-29,100000.0,0.0,-0.3241672415480068
187,2022-09-30,100000.0,0.0,-0.3241672415480068
188,2022-10-03,100000.0,0.0,-0.3241672415480068
189,2022-10-04,100000.0,0.0,-0.3241672415480068
190,2022-10-05,100000.0,0.0,-0.3241672415480068
191,2022-10-06,100000.0,0.0,-0.3241672415480068
192,2022-10-07,100000.0,0.0,-0.3241672415480068
193,2022-10-10,100000.0,0.0,-0.3241672415480068
194,2022-10-11,100000.0,0.0,-0.3241672415480068
195,2022-10-12,100000.0,0.0,-0.3241672415480068
196,2022-10-13,100000.0,0.0,-0.3241672415480068
197,2022-10-14,100000.0,0.0,-0.3241672415480068
198,2022-10-17,100000.0,0.0,-0.3241672415480068
199,2022-10-18,100000.0,0.0,-0.3241672415480068
200,2022-10-19,100000.0,0.0,-0.3241672415480068
201,2022-10-20,100000.0,0.0,-0.3241672415480068
202,2022-10-21,100000.0,0.0,-0.3241672415480068
203,2022-10-24,100000.0,0.0,-0.3241672415480068
204,2022-10-25,100000.0,0.0,-0.3241672415480068
205,2022-10-26,100000.0,0.0,-0.3241672415480068
206,2022-10-27,100000.0,0.0,-0.3241672415480068
207,2022-10-28,100000.0,0.0,-0.3241672415480068
208,2022-10-31,100000.0,0.0,-0.3241672415480068
209,2022-11-01,100000.0,0.0,-0.3241672415480068
210,2022-11-02,100000.0,0.0,-0.3241672415480068
211,2022-11-03,100000.0,0.0,-0.3241672415480068
212,2022-11-04,100000.0,0.0,-0.3241672415480068
213,2022-11-07,100000.0,0.0,-0.3241672415480068
